Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2023/2024,Premier League,90,0.80655,1.1760957952970859,2.0084550000000005,2.6675363659189357
2023/2024,EFL Championship,0,4.441241666666667,2.9178441491507883,9.840191666666668,11.571908212347694
2023/2024,EFL Championship,10,3.400575,2.6256055561700173,7.986900000000001,9.355475967982603
2023/2024,EFL Championship,20,2.6765333333333334,2.4846112215268032,7.1056083333333335,8.838604287206966
2023/2024,EFL Championship,30,3.0000083333333336,2.631262554433304,7.0357625,9.617799522694886
2023/2024,EFL Championship,40,2.779308333333333,2.470383471857305,5.859920833333333,7.644222218855884
2023/2024,EFL Championship,50,2.601875,2.3376381032475364,5.420875,7.134414921818513
2023/2024,EFL Championship,60,2.404858333333333,2.3452190345943325,5.426862500000001,6.908807747512109
2023/2024,EFL Championship,70,2.3612166666666665,2.3942874657127082,5.759870833333333,6.991965051608643
2023/2024,EFL Championship,80,1.6124749999999999,1.8098387528062811,3.7716583333333333,4.441966738956968
2023/2024,EFL Championship,90,0.9918916666666667,1.4357200317759886,2.8378833333333326,3.5751967379432403
2023/2024,EFL League One,0,4.566458333333333,3.201926059240389,11.033612499999998,13.076030100324154
2023/2024,EFL League One,10,3.231866666666667,2.7457937252530322,8.219383333333333,10.182432870676504
2023/2024,EFL League One,20,2.468316666666667,2.4482640857743725,6.200720833333334,7.650532484654255
2023/2024,EFL League One,30,2.590149999999999,2.467409571306879,6.525058333333333,7.903981994222912
2023/2024,EFL League One,40,2.2365833333333334,2.31773034140668,5.706458333333335,6.856296241715834
2023/2024,EFL League One,50,2.0746416666666665,2.280621430893039,5.451341666666667,6.780426080331038
2023/2024,EFL League One,60,2.084833333333333,2.4827679860182594,5.3129625,6.882755171774116
2023/2024,EFL League One,70,1.7342083333333334,2.0411650733893762,3.7808499999999996,4.8992742979615524
2023/2024,EFL League One,80,1.2195833333333337,1.7835438465568807,2.902316666666666,3.6334362233520308
2023/2024,EFL League One,90,0.8013250000000002,1.4499478833437163,2.18765,2.683352690044055
2023/2024,EFL League Two,0,7.4735249999999995,inf,14.219870833333333,16.82460853560195
2023/2024,EFL League Two,10,6.888083333333333,inf,13.265324999999999,16.231345854729156
2023/2024,EFL League Two,20,5.038825,inf,8.890308333333335,12.08993121854573
2023/2024,EFL League Two,30,4.712508333333333,3.5106227283369105,8.576729166666668,11.17197402452151
2023/2024,EFL League Two,40,4.034125,inf,7.575770833333333,9.402100704519
2023/2024,EFL League Two,50,3.08695,inf,5.470116666666665,7.941094189195003
2023/2024,EFL League Two,60,2.7214000000000005,inf,5.305291666666665,7.388290189324365
2023/2024,EFL League Two,70,2.5692749999999998,inf,5.255370833333333,6.7986994074540945
2023/2024,EFL League Two,80,2.0540750000000005,inf,3.835325000000001,5.369561591508194
2023/2024,EFL League Two,90,1.5674583333333336,1.906338575426922,2.8063750000000005,3.60255304182557
2024/2025,Premier League,0,2.82706,2.761516383423402,10.690635,13.148705923797216
2024/2025,Premier League,10,2.3437200000000002,2.590375966910048,10.110525,12.092954614588612
2024/2025,Premier League,20,2.3998199999999996,inf,9.96474,12.445073931078111
2024/2025,Premier League,30,2.1189100000000005,inf,8.06368,9.954028095248676
2024/2025,Premier League,40,1.72929,2.047423057577384,7.0676000000000005,8.399598757559792
2024/2025,Premier League,50,1.3967000000000003,1.7302552728497858,5.513064999999999,6.682346340283479
2024/2025,Premier League,60,1.14551,1.638889846560491,4.688410000000002,5.521840483932872
2024/2025,Premier League,70,1.0880800000000002,1.6625092970532518,3.8763400000000003,4.951678626890078
2024/2025,Premier League,80,1.0342299999999998,1.473530423790394,3.197024999999999,3.7507220192250985
2024/2025,Premier League,90,0.8597100000000001,1.2083325171103467,2.328800000000001,2.9038402896853683
2024/2025,EFL Championship,0,4.8816250000000005,3.253628360511575,9.785204166666666,12.541407099168872
2024/2025,EFL Championship,10,3.948258333333333,2.806426607549309,7.841820833333333,9.528659967850498
2024/2025,EFL Championship,20,4.341858333333333,2.9999406497448136,8.143758333333334,9.545331291002949
2024/2025,EFL Championship,30,3.783375,2.8290418878475445,7.391141666666667,8.289176365598696
2024/2025,EFL Championship,40,2.8366583333333337,2.5116222997977378,5.566120833333334,7.114866284319755
2024/2025,EFL Championship,50,2.7999750000000003,2.550899543028964,5.9071375,6.833806877179318
2024/2025,EFL Championship,60,2.6196333333333333,2.4808845753520554,5.4087375,6.238428985563326
2024/2025,EFL Championship,70,2.3390749999999993,2.3299546496103996,4.914708333333333,5.6184065519801365
2024/2025,EFL Championship,80,2.137958333333333,2.3110661691272525,4.327091666666667,5.056780104638392
2024/2025,EFL Championship,90,1.5910499999999999,2.037327583786414,2.9947874999999993,3.6165796685196905
2024/2025,EFL League One,0,4.801433333333333,inf,13.948504166666666,17.180524858724485
2024/2025,EFL League One,10,3.741891666666667,3.028345033262243,11.082845833333332,14.211423389258023
2024/2025,EFL League One,20,4.116633333333334,3.04872061955842,12.276304166666668,14.296579358640887
2024/2025,EFL League One,30,4.250066666666666,3.2228729021411446,11.2340375,13.253570102004593
2024/2025,EFL League One,40,2.9349000000000003,2.9031722288228496,8.257458333333334,10.675958711672378
2024/2025,EFL League One,50,2.52085,2.6955205166341183,7.7794,9.923603472991385
2024/2025,EFL League One,60,1.817191666666666,2.314297093885594,6.330433333333333,7.796565362442191
2024/2025,EFL League One,70,1.4261000000000001,1.9993406473027242,4.3573208333333335,5.754899891795106
2024/2025,EFL League One,80,1.185033333333333,1.9877563440662558,3.654054166666666,4.728410409032827
2024/2025,EFL League One,90,0.8468666666666671,1.4488179705621185,2.362170833333334,2.97864889554252
2024/2025,EFL League Two,0,7.398183333333333,inf,13.353833333333332,16.11977340504512
2024/2025,EFL League Two,10,6.541108333333334,3.738392267455243,10.893508333333335,12.894091242244771
2024/2025,EFL League Two,20,5.477941666666666,3.6071152317372057,9.640545833333332,11.785989031667361
2024/2025,EFL League Two,30,4.2175,3.1133227107489145,6.845108333333333,9.468054254262947
2024/2025,EFL League Two,40,4.131458333333334,inf,6.917545833333333,9.588110337396174
2024/2025,EFL League Two,50,3.6597166666666663,3.1888309781382844,6.932041666666666,8.61201720702918
2024/2025,EFL League Two,60,2.978358333333334,2.770181369825758,6.013095833333334,7.276800280199852
2024/2025,EFL League Two,70,2.3801666666666668,2.6255992717741266,5.5674833333333344,6.4339830859274105
2024/2025,EFL League Two,80,2.0312666666666668,2.330897930129318,3.9761624999999996,4.465834464343329
2024/2025,EFL League Two,90,1.170641666666666,1.739665303776204,2.789429166666666,3.163041371778645
2025/2026,Premier League,0,3.79901,inf,10.336655,14.690882337337674
2025/2026,Premier League,10,4.072889999999999,inf,10.704539999999998,13.961570029942907
2025/2026,Premier League,20,3.5570499999999994,inf,10.179875,12.517863017244597
2025/2026,Premier League,30,2.8884299999999996,inf,7.587005,9.839818096463981
2025/2026,Premier League,40,2.95066,2.8852990799421505,7.562614999999999,8.970397247418868
2025/2026,Premier League,50,2.50653,2.480149723146537,6.54651,7.659377415430056
2025/2026,Premier League,60,2.1348600000000006,2.202241303325288,4.741555,6.058787313769977
2025/2026,Premier League,70,1.6250899999999995,1.9082969472998534,3.9241900000000007,4.686860325527101
2025/2026,Premier League,80,1.6368299999999998,1.965932354696799,3.4776050000000005,4.246331852728894
2025/2026,Premier League,90,1.1157999999999997,1.3876575805047413,2.0700099999999986,2.54206230844171
2025/2026,EFL Championship,0,5.9360333333333335,3.531732741096444,12.159300000000002,15.668399277526724
2025/2026,EFL Championship,10,5.643350000000001,inf,11.755004166666668,14.717892970618566
2025/2026,EFL Championship,20,5.220199999999999,inf,9.687829166666665,12.989989399357363
2025/2026,EFL Championship,30,5.303825000000001,3.2894424130813023,9.839941666666666,11.843905475250411
2025/2026,EFL Championship,40,4.749975,inf,8.746325,10.501542336525302
2025/2026,EFL Championship,50,4.556608333333334,2.965492791558692,7.454316666666668,9.233850064842944
2025/2026,EFL Championship,60,3.2601833333333334,2.6350157234875184,5.671320833333333,7.332121298693168
2025/2026,EFL Championship,70,2.015175,2.158565151772433,3.932575,4.7201598873872905
2025/2026,EFL Championship,80,1.910775,2.227266343092194,3.114383333333334,4.15668682907433
2025/2026,EFL Championship,90,1.4845,1.6690554803731852,2.1853124999999998,2.896682007990637
2025/2026,EFL League One,0,5.545633333333334,inf,13.311245833333333,16.246556585409618
2025/2026,EFL League One,10,3.681749999999999,3.0123870813460285,8.835470833333332,11.508484702148381
2025/2026,EFL League One,20,3.139025,2.699363827137239,7.074987499999999,9.2457259471832
2025/2026,EFL League One,30,3.224458333333333,2.785951976502099,7.368845833333334,9.908029502147068
2025/2026,EFL League One,40,3.462608333333334,2.967347656498917,7.131504166666667,10.39087573938068
2025/2026,EFL League One,50,2.664441666666667,2.67484411516773,5.613920833333334,8.244606279031764
2025/2026,EFL League One,60,2.5845916666666664,2.5913237440752366,5.917691666666666,7.225215921341037
2025/2026,EFL League One,70,2.4692333333333334,2.3901813780715844,5.2057,5.958465484641718
2025/2026,EFL League One,80,2.350608333333333,2.4355353478713773,4.499208333333334,5.09207796966687
2025/2026,EFL League One,90,1.2114666666666662,1.6714138914526702,2.2023124999999992,2.7125983631166872
2025/2026,EFL League Two,0,6.04515,inf,13.030891666666667,16.72153152420555
2025/2026,EFL League Two,10,5.182225,3.4493704481220973,11.692758333333336,14.399764604788972
2025/2026,EFL League Two,20,5.38155,3.6690906663301726,11.900224999999999,14.263765586939748
2025/2026,EFL League Two,30,4.0859250000000005,3.1113974040662113,9.165141666666665,11.20920087781313
2025/2026,EFL League Two,40,4.186591666666667,3.2649470120871658,9.384291666666668,11.125966338929848
2025/2026,EFL League Two,50,3.510491666666667,3.1543409301179532,8.323658333333332,10.055378434242709
2025/2026,EFL League Two,60,2.816733333333334,2.9815777261082714,7.3468583333333335,8.58734062933145
2025/2026,EFL League Two,70,2.5584916666666664,2.6609790887421045,6.202741666666667,7.295114934552665
2025/2026,EFL League Two,80,1.4774166666666668,2.007585898146188,3.739354166666667,4.843464518941994
2025/2026,EFL League Two,90,1.1402583333333336,1.6940792105793887,2.6742166666666662,3.1461572298599436
